Complaint total,Temp Avg,Hum Avg,Baro Avg,Windspeed,Gust,Wind Direction,Heat Index,Wind Chill,Dew Point
0,71.92,57.0,30.11,0.0,0.0,135.0,71.92,71.9,55.8
0,71.77,58.0,30.11,0.0,0.0,135.0,71.77,71.8,56.0
1,73.39,58.0,30.12,0.0,0.0,135.0,73.39,73.4,57.6
0,74.47,57.0,30.12,0.0,0.0,135.0,74.47,74.5,58.1
0,74.53,58.0,30.13,0.0,0.0,135.0,74.53,74.5,58.6
0,74.7,57.0,30.12,0.0,0.0,135.0,74.7,74.7,58.6
0,74.81,57.0,30.11,0.0,0.0,135.0,74.81,74.8,58.4
0,74.98,55.0,30.09,0.0,0.0,135.0,74.98,75.0,57.5
0,75.06,55.0,30.08,0.0,0.0,135.0,75.06,75.1,58.0
0,75.26,56.0,30.06,0.0,0.0,135.0,75.26,75.3,58.5
0,75.33,55.0,30.04,0.0,0.0,135.0,75.33,75.3,58.2
0,75.22,55.0,30.05,0.0,0.0,135.0,75.22,75.2,58.1
1,75.06,55.0,30.05,0.0,0.0,135.0,75.06,75.1,57.8
0,75.0,57.0,30.05,0.0,0.0,135.0,75.0,75.0,58.8
0,75.01,58.0,30.05,0.0,0.0,135.0,75.01,75.0,59.2
0,74.97,58.0,30.07,0.0,0.0,135.0,74.97,75.0,59.2
0,74.73,58.0,30.07,0.0,0.0,135.0,74.73,74.7,58.9
0,74.46,58.0,30.08,0.0,0.0,135.0,74.46,74.5,58.7
0,74.23,59.0,30.08,0.0,0.0,135.0,74.23,74.2,58.7
0,73.98,59.0,30.07,0.0,0.0,135.0,73.98,74.0,58.7
0,73.64,59.0,30.07,0.0,0.0,135.0,73.64,73.6,58.6
0,73.43,60.0,30.06,0.0,0.0,135.0,73.43,73.4,58.7
0,73.26,60.0,30.05,0.0,0.0,135.0,73.26,73.3,58.6
0,73.01,61.0,30.06,0.0,0.0,135.0,73.01,73.0,58.7
0,72.72,61.0,30.06,0.0,0.0,135.0,72.72,72.7,58.5
0,72.54,61.0,30.08,0.0,0.0,135.0,72.54,72.5,58.3
0,73.71,61.0,30.09,0.0,0.0,135.0,73.71,73.7,59.4
0,74.3,60.0,30.11,0.0,0.0,135.0,74.3,74.3,59.5
0,74.65,60.0,30.13,0.0,0.0,135.0,74.65,74.6,59.9
0,74.73,60.0,30.13,0.0,0.0,135.0,74.73,74.7,59.9
0,75.13,60.0,30.13,0.0,0.0,135.0,75.13,75.1,60.1
