"ARRIVAL
DATE","ARRIVAL
TIME (if avail)",TERMINAL,SHIP NAME,"LAST PORT
 OF CALL (if avail)",PRODUCT TYPE - OIL,"PRODUCT AMOUNT - OIL
Multiply metric tons by 7.5 for approx bbls",,RUNNING TOTAL ,PRODUCT TYPE - NON-OIL,PRODUCT AMOUNT - NON OIL,,"RUNNING TOTAL
(Specify Units)"
3/12/21,,Citgo,New England,St. John ,29 - Diesel (aka ULSD),"35,000",,"4,232,377",,,,0
3/12/21,,Citgo,New England,St. John ,28 - Premium Unleaded Gasoline,"4,000",,"4,267,377",,,,0
3/21/21,,Citgo,Cape Gavi,St. John ,23 - Unleaded Gasoline,"58,000",,"4,271,377",,,,0
3/21/21,,Citgo,Cape Gavi,St. John ,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","20,900",,"4,329,377",,,,0
3/21/21,,Citgo,Cape Gavi,St. John ,29 - Diesel (aka ULSD),"25,000",,"4,350,277",,,,0
3/28/21,,Citgo,Nor'easter,St. John ,23 - Unleaded Gasoline,"96,000",,"4,375,277",,,,0
3/28/21,,Citgo,Nor'easter,St. John ,29 - Diesel (aka ULSD),"45,000",,"4,471,277",,,,0
3/28/21,,Citgo,Nor'easter,St. John ,28 - Premium Unleaded Gasoline,"25,000",,"4,516,277",,,,0
3/26/21,,Citgo,DBL-104,New York,34 - Ethanol (aka E-100),"18,000",,"4,541,277",,,,0
3/25/21,,Citgo,Eva Leigh Cutler,"Braintree, MA",34 - Ethanol (aka E-100),"26,000",,"4,559,277",,,,0
3/5/21,,Citgo,DBL-104,"Boston, MA",34 - Ethanol (aka E-100),"12,000",,"4,585,277",,,,0
3/6/21,,Citgo,East Coast,St. John ,23 - Unleaded Gasoline,"83,000",,"4,597,277",,,,0
3/6/21,,Citgo,East Coast,St. John ,29 - Diesel (aka ULSD),"45,000",,"4,680,277",,,,0
3/11/21,,Gulf,Fight ALS,New Jersey,29 - Diesel (aka ULSD),"78,000",,"4,725,277",,,,0
3/30/21,,Gulf,Fight ALS,New Jersey,29 - Diesel (aka ULSD),"83,000",,"4,803,277",,,,0
3/26/21,,Gulf,Cape Gavi,St. John ,23 - Unleaded Gasoline,"80,000",,"4,886,277",,,,0
3/16/21,,Buckeye,New England,St. John ,28 - Premium Unleaded Gasoline,"38,000",,"4,966,277",,,,0
3/16/21,,Buckeye,New England,St. John ,29 - Diesel (aka ULSD),"25,000",,"5,004,277",,,,0
3/20/21,,Buckeye,Cape Gavi,St. John ,23 - Unleaded Gasoline,"70,000",,"5,029,277",,,,0
3/20/21,,Buckeye,Cape Gavi,St. John ,23 - Unleaded Gasoline,"50,000",,"5,099,277",,,,0
3/20/21,,Buckeye,Cape Gavi,St. John ,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","46,000",,"5,149,277",,,,0
3/1/21,,Buckeye,East Coast,St. John ,23 - Unleaded Gasoline,"30,000",,"5,195,277",,,,0
3/1/21,,Buckeye,East Coast,St. John ,23 - Unleaded Gasoline,"45,000",,"5,225,277",,,,0
3/1/21,,Buckeye,East Coast,St. John ,29 - Diesel (aka ULSD),"38,000",,"5,270,277",,,,0
3/1/21,,Buckeye,East Coast,St. John ,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","45,000",,"5,308,277",,,,0
3/5/21,,Buckeye,East Coast,St. John ,23 - Unleaded Gasoline,"38,000",,"5,353,277",,,,0
3/5/21,,Buckeye,East Coast,St. John ,29 - Diesel (aka ULSD),"42,000",,"5,391,277",,,,0
3/5/21,,Buckeye,East Coast,St. John ,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","50,000",,"5,433,277",,,,0
3/5/21,,Buckeye,DBL-104,New York,34 - Ethanol (aka E-100),"8,000",,"5,483,277",,,,0
3/31/21,,Buckeye,Acadian,St. John ,23 - Unleaded Gasoline,"85,000",,"5,491,277",,,,0
3/31/21,,Buckeye,Acadian,St. John ,29 - Diesel (aka ULSD),"45,000",,"5,576,277",,,,0
3/31/21,,Buckeye,Acadian,St. John ,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","45,000",,"5,621,277",,,,0
3/2/21,,Global,Torm Stellar,Belgium,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","100,000",,"5,666,277",,,,0
3/9/21,,Global,New England,,"02 - #2 Fuel Oil (aka FO, MGO, DMA)",799,,"5,766,277",,,,0
3/9/21,,Global,New England,,06 - #6 Fuel Oil (aka IFO 380),"1,355",,"5,767,076",,,,0
3/8/21,,Global,New England,,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","2,541",,"5,768,431",,,,0
3/31/21,,Global,Palanca Rio,St. John ,41 - Asphalt,"42,000",,"5,770,972",,,,0
3/31/21,,Global,RTC-145,"Bayonne, NJ",01 - #1 Fuel Oil,"25,000",,"5,812,972",,,,0
3/29/21,,Sprague,RTC-104,"Newington,NH","02 - #2 Fuel Oil (aka FO, MGO, DMA)","40,000",,"5,837,972",,,,0
3/19/21,,Sprague,RTC-104,"Quincy, MA",29 - Diesel (aka ULSD),"20,000",,"5,877,972",,,,0
3/19/21,,Sprague,RTC-104,"Quincy, MA",25 - Jet Fuel,"20,000",,"5,897,972",,,,0
3/28/21,,Sprague,RTC-104,"Newington,NH","02 - #2 Fuel Oil (aka FO, MGO, DMA)","40,000",,"5,917,972",,,,0
3/30/21,,Sprague,Fight ALS,New York,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","15,000",,"5,957,972",,,,0
3/9/21,,Sprague,Palanca Rio,St. John ,41 - Asphalt,"84,000",,"5,972,972",,,,0
4/28/21,,Citgo,East Coast,St. John ,23 - Unleaded Gasoline,"60,000",,"6,056,972",,,,0
4/28/21,,Citgo,East Coast,St. John ,28 - Premium Unleaded Gasoline,"23,000",,"6,116,972",,,,0
4/30/21,,Citgo,New England,St. John ,23 - Unleaded Gasoline,"100,000",,"6,139,972",,,,0
4/30/21,,Citgo,New England,St. John ,29 - Diesel (aka ULSD),"38,000",,"6,239,972",,,,0
4/6/21,,Citgo,DBL-104,"Boston, MA",34 - Ethanol (aka E-100),"17,000",,"6,277,972",,,,0
4/8/21,,Citgo,Iver Prosperity,St. John ,23 - Unleaded Gasoline,"65,000",,"6,294,972",,,,0
4/8/21,,Citgo,Iver Prosperity,St. John ,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","20,000",,"6,359,972",,,,0
4/8/21,,Citgo,Iver Prosperity,St. John ,29 - Diesel (aka ULSD),"30,000",,"6,379,972",,,,0
4/16/21,,Citgo,New England,St. John ,23 - Unleaded Gasoline,"90,000",,"6,409,972",,,,0
4/16/21,,Citgo,New England,St. John ,28 - Premium Unleaded Gasoline,"18,000",,"6,499,972",,,,0
4/23/21,,Citgo,New England,St. John ,23 - Unleaded Gasoline,"76,000",,"6,517,972",,,,0
4/13/21,,Gulf,RTC-150,"New Haven, CT",34 - Ethanol (aka E-100),"33,000",,"6,593,972",,,,0
4/12/21,,Gulf,Maersk Messina,New York,23 - Unleaded Gasoline,"200,000",,"6,626,972",,,,0
4/14/21,,Gulf,Nor'easter,St. John ,23 - Unleaded Gasoline,"12,000",,"6,826,972",,,,0
4/16/21,,Gulf,New England,St. John ,23 - Unleaded Gasoline,"12,000",,"6,838,972",,,,0
4/27/21,,Gulf,Nor'easter,St. John ,23 - Unleaded Gasoline,"40,000",,"6,850,972",,,,0
4/27/21,,Gulf,Nor'easter,St. John ,29 - Diesel (aka ULSD),"60,000",,"6,890,972",,,,0
4/30/21,,Buckeye,New England,St. John ,23 - Unleaded Gasoline,"45,000",,"6,950,972",,,,0
4/30/21,,Buckeye,New England,St. John ,23 - Unleaded Gasoline,"35,000",,"6,995,972",,,,0
4/30/21,,Buckeye,New England,St. John ,29 - Diesel (aka ULSD),"47,000",,"7,030,972",,,,0
4/6/21,,Buckeye,DBL-104,New York,34 - Ethanol (aka E-100),"10,000",,"7,077,972",,,,0
