"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT05","WT06","WT08"
"USW00014764","PORTLAND JETPORT, ME US","2021-03-18","6.04",,"0.25","0.0","0.0","39","47","33","  350","  350","19.9","25.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-03-19","14.32",,"0.00","0.0","0.0","33","39","22","  350","  360","25.9","36.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-03-20","5.14",,"0.00","0.0","0.0","37","56","20","  280","  280","15.0","19.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-03-21","5.59",,"0.00","0.0","0.0","42","59","25","  190","  200","16.1","21.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-03-22","4.25",,"0.00","0.0","0.0","42","59","25","  170","  180","15.0","19.0","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-03-23","4.70",,"0.00","0.0","0.0","41","60","27","  160","  200","15.0","19.9","    1","    1",,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-03-24","3.80",,"0.00","0.0","0.0","44","55","35","  190","  160","13.0","18.1","    1","    1",,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-03-25","2.68",,"0.02","0.0","0.0","46","53","42","  160","  150","8.9","12.1","    1","    1",,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-03-26","9.17",,"0.48","0.0","0.0","48","58","43","  290","  280","31.1","38.0","    1","    1","    1",,,
"USW00014764","PORTLAND JETPORT, ME US","2021-03-27","8.72",,"0.00","0.0","0.0","47","51","38","  290","  290","25.9","32.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-03-28","10.96",,"1.44","0.0","0.0","41","43","39","   90","  100","21.0","29.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-03-29","15.21",,"0.05","0.0","0.0","42","47","28","  320","  300","30.0","53.0","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-03-30","7.83",,"0.00","0.0","0.0","37","47","24","  170","  190","21.0","27.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-03-31","10.51",,"0.06","0.0","0.0","48","57","31","  210","  180","19.9","29.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-01","13.42",,"0.77","0.0","0.0","46","49","31","  340","  320","25.9","35.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-02","10.29",,"0.00","0.0","0.0","32","36","27","  330","  330","19.9","25.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-03","7.38",,"0.00","0.0","0.0","34","48","22","  310","  330","21.0","28.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-04","11.63",,"0.00","0.0","0.0","41","58","23","  350","  360","28.0","40.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-05","16.55",,"0.01","0.0","0.0","44","47","37","  350","  340","31.1","38.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-06","10.96",,"0.00","0.0","0.0","48","60","42","  360","  350","19.9","27.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-07","6.93",,"0.00","0.0","0.0","49","60","37","  360","  360","17.0","21.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-08","5.59",,"0.00","0.0","0.0","52","59","41","  150","  130","13.0","16.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-09","5.82",,"0.00","0.0","0.0","48","58","37","  170","  190","16.1","21.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-10","6.49",,"0.00","0.0","0.0","53","69","38","  190","  190","16.1","21.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-11","7.16",,"0.00","0.0","0.0","46","50","37","   90","   90","15.0","18.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-12","9.62",,"0.00","0.0","0.0","45","52","36","   90","   90","21.0","27.1","    1",,,,,"    1"
"USW00014764","PORTLAND JETPORT, ME US","2021-04-13","7.38",,"0.00","0.0","0.0","49","64","42","   20","   20","18.1","23.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-14","5.14",,"0.00","0.0","0.0","46","55","39","  160","  150","16.1","19.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-15","6.93",,"0.00","0.0","0.0","45","53","38","  160","  150","15.0","19.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-16","17.00",,"1.20","0.3","0.0","39","43","33","   50","   50","31.1","38.0","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-17","12.08",,"0.04","0.0","0.0","39","48","34","  350","  350","21.9","29.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-18","4.92",,"0.00","0.0","0.0","45","53","36","  340","  320","15.0","21.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-19","4.92",,"0.00","0.0","0.0","47","61","34","  170","  170","17.0","21.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-20","8.05",,"0.00","0.0","0.0","51","67","36","  280","  280","29.1","38.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-21","8.72",,"0.16","0.0","0.0","51","60","35","  330","  340","23.9","32.0","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-22","17.22",,"0.00","0.0","0.0","37","39","32","  290","  280","32.0","42.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-23","16.11",,"0.00","0.0","0.0","44","58","35","  280","  280","31.1","42.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-24","8.05",,"0.00","0.0","0.0","56","71","43","  270","  240","25.1","36.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-25","3.58",,"0.01","0.0","0.0","49","54","41","  200","  200","16.1","19.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-26","14.32",,"0.00","0.0","0.0","46","51","36","  340","  310","23.9","33.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-27","6.93",,"0.00","0.0","0.0","49","68","33","  270","  300","17.0","21.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-28","3.36",,"0.15","0.0","0.0","51","58","43","  180","  190","13.0","16.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-29","4.92",,"0.47","0.0","0.0","48","51","45","   80","   80","12.1","14.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-30","8.28",,"0.64","0.0","0.0","49","55","45","  280","  280","18.1","28.0","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-01","11.63",,"0.02","0.0","0.0","49","57","43","  310","  310","23.0","33.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-02","11.41",,"0.00","0.0","0.0","55","69","47","  280","  270","30.0","38.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-03","3.36",,"0.00","0.0","0.0","53","55","47","  190","  190","10.1","13.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-04","5.37",,"0.02","0.0","0.0","50","55","46","   90","  120","13.0","17.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-05","6.71",,"0.50","0.0","0.0","47","49","45","   90","   90","13.0","16.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-06","9.62",,"0.00","0.0","0.0","52","62","42","  350","  340","23.0","31.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-07","5.14",,"0.00","0.0","0.0","49","58","35","  190","  170","16.1","21.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-08","6.71",,"0.00","0.0","0.0","46","54","37","  350","  340","16.1","21.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-09","7.83",,"0.00","0.0","0.0","53","65","42","  190","  170","18.1","23.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-10","6.26",,"0.04","0.0","0.0","54","63","47","  160","  170","16.1","21.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-11","9.40",,"0.01","0.0","0.0","54","63","43","  300","  300","29.1","36.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-12","9.84",,"0.00","0.0","0.0","52","64","39","  310","  320","29.1","38.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-13","7.38",,"0.00","0.0","0.0","56","69","40","  320","  300","19.9","27.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-14","6.26",,"0.00","0.0","0.0","59","75","44","   10","  310","21.0","27.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-15","5.59",,"0.00","0.0","0.0","60","72","46","  180","  190","17.0","21.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-16","4.47",,"0.00","0.0","0.0","60","74","46","  100","  100","19.9","23.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-17","5.14",,"0.00","0.0","0.0","57","66","44","   90","  170","13.0","15.0","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-18","6.71",,"0.00","0.0","0.0","61","78","46","  340","  320","17.0","25.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-19","6.93",,"0.00","0.0","0.0","66","77","53","   10","  350","16.1","25.1",,,,,,"    1"
"USW00014764","PORTLAND JETPORT, ME US","2021-05-20","6.04",,"0.00","0.0","0.0","57","65","48","  160","  150","15.0","19.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-21","4.92",,"0.01","0.0","0.0","58","69","52","  170","  170","15.0","19.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-22","2.91",,"0.00","0.0","0.0","64","77","57","  150","  160","8.9","11.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-23","10.51",,"0.00","0.0","0.0","70","84","52","  350","  340","32.0","40.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-24","9.62",,"0.00","0.0","0.0","56","62","43","  190","  210","21.0","30.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-25","10.51",,"0.00","0.0","0.0","58","69","49","  180","  190","23.0","30.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-26","10.07",,"0.15","0.0","0.0","71","88","63","  270","  270","31.1","44.1","    1",,"    1",,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-27","11.41",,"0.00","0.0","0.0","70","76","52","  320","  330","21.0","28.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-28","7.83",,"0.03","0.0","0.0","53","58","46","  350","  340","15.0","19.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-29","9.84",,"0.57","0.0","0.0","47","50","43","   60","   50","21.0","27.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-30","10.51",,"0.76","0.0","0.0","49","53","47","   90","   50","19.9","25.1","    1",,,,,
